地名,X,Y,城市,排名,name_en
外滩,121.490603,31.237771,上海,1,The Bund
东方明珠,121.499739,31.239777,上海,2,Oriental Pearl Tower
上海迪士尼度假区,121.665534,31.142003,上海,3,Shanghai Disney Resort
鼓浪屿,118.067623,24.445391,厦门,4,Gulangyu Island
故宫博物院,116.397048,39.917752,北京,5,The Palace Museum
西湖,120.121526,30.222576,杭州,6,West Lake
上海野生动物园,121.721461,31.055591,上海,7,Shanghai Wild Animal Park
丽江古城,100.235437,26.870614,丽江,8,Old Town of Lijiang
长隆野生动物世界,113.31521,23.002039,广州,9,Chimelong Safari Park
蜈支洲岛,109.72747,18.27433,三亚,10,Wuzhizhou Island
颐和园,116.273833,40.002482,北京,11,Summer Palace
亚龙湾,109.649664,18.235582,三亚,12,Yalong Bay
锦里古街,104.049824,30.64563,成都,13,Jinli Ancient Street
瘦西湖,119.421577,32.408594,扬州,14,Slender West Lake
成都大熊猫繁育研究基地,104.144469,30.737103,成都,15,Chengdu Research Base of Giant Panda Breeding
秦始皇帝陵博物院,109.258987,34.380987,西安,16,Emperor Qinshihuang's Mausoleum Site Museum
都江堰景区,103.610865,31.001164,成都,17,Dujiangyan Irrigation System
八达岭长城,116.017596,40.356499,北京,18,Badaling Great Wall
黄山风景区,118.161524,30.124159,黄山,19,Mount Huangshan Scenic Area
广州塔,113.324542,23.106459,广州,20,Canton Tower
拙政园,120.62921,31.324231,苏州,21,Humble Administrator's Garden
宽窄巷子,104.053338,30.663699,成都,22,Kuanzhai Alley
厦门大学,118.100086,24.436851,厦门,23,Xiamen University
华清宫,109.216458,34.35777,西安,25,Huaqing Palace
南京路步行街,121.484119,31.237473,上海,26,Nanjing Road Pedestrian Street
天涯海角,109.352782,18.292598,三亚,27,Tianya Haijiao
磁器口古镇,106.450003,29.58143,重庆,28,Ciqikou Ancient Town
黄鹤楼,114.302457,30.544658,武汉,29,Yellow Crane Tower
乌镇,120.491844,30.747986,嘉兴,30,Wuzhen
大理古城,100.164146,25.694484,大理,31,Dali Old Town
夫子庙,118.788869,32.020645,南京,32,Confucius Temple
九寨沟风景区,103.914688,33.157204,阿坝,33,Jiuzhaigou Valley Scenic and Historic Interest Area
中山陵景区,118.854435,32.054614,南京,34,Sun Yat-sen Mausoleum
华山,110.066529,34.491583,渭南,35,Mount Hua
大唐芙蓉园,108.97,34.21,西安,36,Tang Paradise
陕西历史博物馆,108.955104,34.224245,西安,37,Shaanxi History Museum
泸沽湖,100.786955,27.683485,丽江,38,Lugu Lake
泸沽湖,100.786955,27.683485,凉山,39,Lugu Lake
西塘风景区,120.893254,30.944834,嘉兴,40,Xitang Ancient Town
玉龙雪山,100.204046,27.13384,丽江,41,Jade Dragon Snow Mountain
广州长隆度假区,113.323998,23.00063,广州,42,Chimelong Tourist Resort
亚龙湾热带天堂森林公园,109.647562,18.251156,三亚,43,Yalong Bay Tropical Paradise Forest Park
骊山,109.215174,34.357798,西安,44,Mount Li
崂山,120.619214,36.184467,青岛,45,Mount Lao
鼋头渚,120.227001,31.523518,无锡,46,Turtle Head Isle
周庄,120.850985,31.115325,苏州,47,Zhouzhuang
武陵源,110.468151,29.352736,张家界,48,Wulingyuan
天门山国家森林公园,110.483808,29.112197,张家界,49,Tianmen Mountain National Forest Park
峨眉山,103.349794,29.567821,乐山,50,Mount Emei
青城山,103.562793,30.905436,成都,51,Mount Qingcheng
哈尔滨冰雪大世界,126.563939,45.779012,哈尔滨,52,Harbin Ice and Snow World
洱海,100.213135,25.726601,大理,53,Erhai Lake
漓江风景名胜区,110.431811,25.147164,桂林,54,Li River Scenic Area
栈桥,120.32004,36.059623,青岛,55,Zhanqiao Pier
宏村景区,117.990546,30.003343,黄山,56,Hongcun Village
泰山风景区,117.08821,36.26392,泰安,57,Mount Tai Scenic Area
南京总统府,118.797425,32.04421,南京,58,Nanjing Presidential Palace
武侯祠,104.048197,30.646639,成都,59,Wuhou Shrine
西溪国家湿地公园,120.064921,30.267233,杭州,60,Xixi National Wetland Park
天安门广场,116.397714,39.90375,北京,61,Tiananmen Square
凤凰古城,109.60249,27.947418,湘西,62,Fenghuang Ancient Town
趵突泉景区,117.015968,36.661123,济南,63,Baotu Spring Scenic Area
天津之眼摩天轮,117.186405,39.153934,天津,64,Tianjin Eye Ferris Wheel
千岛湖景区,119.053653,29.546712,杭州,65,Qiandao Lake Scenic Area
洪崖洞民俗风貌区,106.578343,29.561938,重庆,66,Hongyadong Folk Custom Area
中央大街,126.618478,45.775822,哈尔滨,67,Central Street
灵山大佛,120.096439,31.430295,无锡,68,Lingshan Grand Buddha
黄果树瀑布,105.672589,25.98004,安顺,69,Huangguoshu Waterfall
上海科技馆,121.541317,31.218404,上海,70,Shanghai Science and Technology Museum
老虎滩海洋公园,121.675822,38.871792,大连,71,Tiger Beach Ocean Park
张家界国家森林公园,110.434767,29.315306,张家界,72,Zhangjiajie National Forest Park
石林风景区,103.323315,24.811902,昆明,73,Stone Forest Scenic Area
灵隐寺,120.101383,30.240712,杭州,74,Lingyin Temple
太平山顶,114.163512,22.260616,香港,75,Victoria Peak
北戴河,119.485004,39.8351,秦皇岛,76,Beidaihe
杭州宋城,120.098912,30.16963,杭州,77,Hangzhou Songcheng
大三巴牌坊,113.545922,22.193682,澳门,78,Ruins of St. Paul's
西街,110.494172,24.775098,桂林,79,West Street
双廊,100.19349,25.909591,大理,80,Shuanglang
户部巷,114.298117,30.547291,武汉,81,Hubu Alley
星海广场,121.588117,38.882135,大连,82,Xinghai Square
曾厝垵,118.126514,24.426797,厦门,83,Zengcuoan
第一市场,109.508666,18.2386,三亚,84,First Market
南山文化旅游区,109.207188,18.29815,三亚,85,Nanshan Cultural Tourism Zone
青海湖,100.228654,36.894097,海南藏族自治州,86,Qinghai Lake
青海湖,100.228654,36.894097,西宁,87,Qinghai Lake
城隍庙旅游区,121.49139,31.22672,上海,88,City God Temple Tourist Area
虎丘山风景名胜区,120.580928,31.335413,苏州,89,Tiger Hill Scenic Area
大连圣亚海洋世界,121.571652,38.878954,大连,90,Dalian Sun Asia Ocean World
普陀山风景区,122.391186,30.001647,舟山,91,Mount Putuo Scenic Area
八大关,120.351235,36.053392,青岛,92,Eight Great Passes
鸣沙山月牙泉,94.678802,40.08877,酒泉,93,Mingsha Mountain and Crescent Spring
环岛路,118.109689,24.429816,厦门,94,Island Ring Road
布达拉宫,91.11856,29.654487,拉萨,95,Potala Palace
大明湖景区,117.02619,36.675413,济南,96,Daming Lake Scenic Area
象鼻山景区,110.296645,25.268176,桂林,97,Elephant Trunk Hill Scenic Area
上海环球金融中心,121.506792,31.235399,上海,98,Shanghai World Financial Center
武隆,107.753497,29.319113,重庆,99,Wulong
三亚千古情,109.531216,18.291235,三亚,100,Sanya Romance Park
上海海洋水族馆,121.501977,31.241113,上海,101,Shanghai Ocean Aquarium
圆明园,116.303268,40.010067,北京,102,Old Summer Palace
龙门石窟,112.477533,34.558506,洛阳,103,Longmen Grottoes
束河古镇,100.206435,26.920049,丽江,104,Shuhe Ancient Town
遇龙河,110.433042,24.776193,桂林,105,Yulong River
蓬莱阁,120.755302,37.824527,烟台,106,Penglai Pavilion
普达措国家公园,99.944576,27.858665,迪庆,107,Potatso National Park
台北故宫博物院,121.55231,25.099474,台北,108,National Palace Museum (Taipei)
武隆天生三桥,107.805121,29.433587,重庆,109,Wulong Three Natural Bridges
天坛,116.412869,39.883639,北京,110,Temple of Heaven
沈阳故宫,123.455717,41.797103,沈阳,111,Shenyang Imperial Palace
圣索菲亚大教堂,126.627271,45.770105,哈尔滨,112,Hagia Sophia
深圳平安金融中心云际观光层,114.055639,22.533181,深圳,113,Ping An Finance Centre Sky View
长隆欢乐世界,113.330306,22.999111,广州,114,Chimelong Paradise
杜甫草堂,104.028514,30.660271,成都,115,Du Fu Thatched Cottage
玄武湖景区,118.797448,32.073261,南京,116,Xuanwu Lake Scenic Area
橘子洲,112.962093,28.186915,长沙,117,Orange Isle
横店影视城,120.316836,29.137863,金华,118,Hengdian World Studios
南普陀寺,118.096618,24.440803,厦门,119,Nanputuo Temple
鹿回头风景区,109.500773,18.226059,三亚,120,Luhuitou Scenic Area
岳麓山,112.937434,28.182918,长沙,121,Yuelu Mountain
三坊七巷,119.296498,26.082313,福州,122,Three Lanes and Seven Alleys
